updated,open,high,low,close,average,volume
2023-12-19,42650.27,42878.09,42562.31,42650.95,42720.2,1739
2023-12-18,41349.42,42744.41,40512.69,42650.27,41628.55,32860
2023-12-17,42243.26,42372.05,41228.17,41349.42,41800.11,18460
2023-12-16,41939.16,42678.86,41640.84,42243.26,42159.85,13495
2023-12-15,43030.6,43091.28,41662.1,41939.16,42376.69,25157
2023-12-14,42887.55,43416.91,41433.23,43030.6,42425.07000000001,34166
2023-12-13,41472.94,43461.75,40579.83,42887.55,42020.79,36203
2023-12-12,41235.58,42080.61,40648.18,41472.94,41364.395,31480
2023-12-11,43791.67,43808.9,40180.77,41235.58,41994.835,58689
2023-12-10,43723.0,44047.82,43584.51,43791.67,43816.165,11497
2023-12-09,44186.18,44373.02,43597.57,43723.0,43985.295,15066
2023-12-08,43285.02,44735.52,43094.02,44186.18,43914.77,29502
2023-12-07,43771.01,44050.53,42856.57,43285.02,43453.55,30381
2023-12-06,44089.06,44286.67,43386.17,43771.01,43836.42,39080
2023-12-05,41984.41,44639.18,41368.51,44089.06,43003.845,52083
2023-12-04,39980.93,42399.42,39980.36,41984.41,41189.89,48574
2023-12-03,39469.35,40203.23,39288.91,39980.93,39746.07000000001,16087
2023-12-02,38699.84,39712.52,38659.45,39469.35,39185.985,17299
2023-12-01,37729.58,38982.35,37626.12,38699.84,38304.235,32942
2023-11-30,37861.9,38149.78,37505.7,37729.58,37827.74,16874
2023-11-29,37836.63,38456.97,37589.12,37861.9,38023.045,27433
2023-11-28,37246.29,38410.41,36879.99,37836.63,37645.2,33506
2023-11-27,37460.21,37568.17,36727.3,37246.29,37147.735,24674
2023-11-26,37801.92,37829.46,37159.52,37460.21,37494.49,12751
2023-11-25,37737.05,37907.84,37616.03,37801.92,37761.935,8271
2023-11-24,37299.18,38432.07,37262.39,37737.05,37847.23,34951
2023-11-23,37424.2,37646.06,36892.34,37299.18,37269.2,16793
2023-11-22,35758.72,37866.63,35656.41,37424.2,36761.52,36262
2023-11-21,37476.66,37665.29,35753.93,35758.72,36709.61,42793
2023-11-20,37388.64,37770.11,36767.05,37476.66,37268.58,31117
2023-11-19,36591.19,37529.1,36411.61,37388.64,36970.355,11668
2023-11-18,36626.32,36853.45,36212.85,36591.19,36533.15,8649
2023-11-17,36162.42,36780.63,35873.7,36626.32,36327.16499999999,28253
2023-11-16,37884.19,37951.14,35512.38,36162.42,36731.76,38917
2023-11-15,35551.21,37977.31,35374.22,37884.19,36675.765,39005
2023-11-14,36482.51,36752.31,34788.17,35551.21,35770.24,33896
2023-11-13,37079.76,37429.52,36358.0,36482.51,36893.76,24368
2023-11-12,37142.22,37233.45,36747.05,37079.76,36990.25,9320
2023-11-11,37321.51,37417.29,36701.83,37142.22,37059.56,14920
2023-11-10,36704.14,37536.44,36342.27,37321.51,36939.355,32545
2023-11-09,35638.33,37990.51,35557.78,36704.14,36774.145,62530
2023-11-08,35421.85,36109.43,35120.46,35638.33,35614.945,26404
2023-11-07,35054.59,35929.83,34537.87,35421.85,35233.850000000006,28810
2023-11-06,35039.47,35288.36,34758.64,35054.59,35023.5,17520
2023-11-05,35086.09,35393.84,34489.02,35039.47,34941.42999999999,15210
2023-11-04,34732.28,35278.07,34606.38,35086.09,34942.225,10840
2023-11-03,34947.15,34950.21,34118.29,34732.28,34534.25,27811
2023-11-02,35439.76,35973.2,34323.19,34947.15,35148.195,31205
2023-11-01,34657.73,35623.76,34096.9,35439.76,34860.33,34274
2023-10-31,34494.56,34726.05,34058.4,34657.73,34392.225000000006,21982
2023-10-30,34535.38,34862.12,34090.22,34494.56,34476.17,23948
2023-10-29,34090.05,34761.09,33947.8,34535.38,34354.445,13639
2023-10-28,33907.7,34494.4,33876.07,34090.05,34185.235,10888
2023-10-27,34157.06,34246.78,33406.13,33907.7,33826.455,30792
2023-10-26,34503.4,34836.51,33746.16,34157.06,34291.33500000001,36463
2023-10-25,33923.52,35136.87,33698.9,34503.4,34417.885,43002
2023-10-24,33084.08,35183.22,32857.8,33923.52,34020.51,75112
2023-10-23,30001.44,34739.17,29898.26,33084.08,32318.715,73249
2023-10-22,29924.08,30232.64,29674.58,30001.44,29953.61,13845
2023-10-21,29684.37,30365.61,29480.22,29924.08,29922.915,15637
2023-10-20,28733.78,30243.12,28596.96,29684.37,29420.04,42016
2023-10-19,28328.07,28927.17,28135.5,28733.78,28531.335,25550
2023-10-18,28409.46,28988.79,28156.7,28328.07,28572.745000000003,23999
2023-10-17,28518.37,28628.83,28094.14,28409.46,28361.485,26038
2023-10-16,27177.41,30009.15,27131.48,28518.37,28570.315,66720
2023-10-15,26854.52,27297.26,26813.06,27177.41,27055.16,10978
2023-10-14,26862.9,26982.78,26810.02,26854.52,26896.4,5865
2023-10-13,26756.23,27110.91,26674.97,26862.9,26892.94,18507
2023-10-12,26871.21,26937.98,26549.78,26756.23,26743.88,16400
2023-10-11,27395.4,27475.69,26531.55,26871.21,27003.62,30496
2023-10-10,27598.77,27735.72,27298.5,27395.4,27517.11,18600
2023-10-09,27933.57,27999.8,27282.89,27598.77,27641.345,21887
2023-10-08,27973.69,28105.36,27714.35,27933.57,27909.855,8547
2023-10-07,27946.61,28035.05,27864.11,27973.69,27949.58,7351
2023-10-06,27414.59,28280.04,27181.63,27946.61,27730.835,25278
2023-10-05,27789.8,28128.37,27363.01,27414.59,27745.69,25127
2023-10-04,27428.66,27836.54,27222.97,27789.8,27529.755,18061
2023-10-03,27507.22,27669.05,27170.07,27428.66,27419.56,22621
2023-10-02,27994.51,28585.13,27312.81,27507.22,27948.97,42701
2023-10-01,26964.27,28060.49,26958.76,27994.51,27509.625,16861
2023-09-30,26909.4,27095.39,26887.09,26964.27,26991.24,7260
2023-09-29,27027.2,27233.94,26674.22,26909.4,26954.08,21721
2023-09-28,26360.2,27306.05,26328.53,27027.2,26817.29,30832
2023-09-27,26212.59,26828.5,26096.78,26360.2,26462.64,24188
2023-09-26,26297.93,26395.42,26090.75,26212.59,26243.085,12902
2023-09-25,26261.44,26439.02,25997.17,26297.93,26218.095,19804
2023-09-24,26585.41,26732.91,26146.79,26261.44,26439.85,9848
2023-09-23,26583.16,26640.84,26522.49,26585.41,26581.665,5251
2023-09-22,26567.47,26738.04,26478.87,26583.16,26608.455,15354
2023-09-21,27126.4,27162.0,26373.55,26567.47,26767.775,20948
2023-09-20,27219.02,27389.22,26814.07,27126.4,27101.645,21439
2023-09-19,26767.82,27493.85,26676.6,27219.02,27085.225,24703
2023-09-18,26533.12,27425.7,26394.81,26767.82,26910.255,29536
2023-09-17,26569.13,26621.93,26413.39,26533.12,26517.66,5698
2023-09-16,26605.49,26771.68,26459.99,26569.13,26615.835,7062
2023-09-15,26533.66,26879.57,26224.91,26605.49,26552.24,17339
2023-09-14,26227.49,26845.74,26136.39,26533.66,26491.065,24488
2023-09-13,25840.34,26432.59,25768.65,26227.49,26100.620000000003,18955
2023-09-12,25157.07,26545.24,25128.37,25840.34,25836.805,36111
2023-09-11,25833.67,25889.38,24911.78,25157.07,25400.58,24481
2023-09-10,25898.41,26020.84,25589.02,25833.67,25804.93,8434
2023-09-09,25907.13,25936.62,25799.89,25898.41,25868.255,4094
2023-09-08,26264.75,26443.61,25650.9,25907.13,26047.255,18556
2023-09-07,25751.71,26426.41,25600.8,26264.75,26013.605,18952
2023-09-06,25785.01,26019.64,25379.85,25751.71,25699.745,15183
2023-09-05,25816.24,25878.61,25567.56,25785.01,25723.085,10888
2023-09-04,25971.37,26089.36,25636.28,25816.24,25862.82,8832
2023-09-03,25868.56,26115.72,25805.82,25971.37,25960.77,6190
2023-09-02,25798.79,25980.31,25729.66,25868.56,25854.985,7017
2023-09-01,25937.29,26137.14,25323.44,25798.79,25730.29,24807
2023-08-31,27305.41,27563.68,25683.18,25937.29,26623.43,27850
2023-08-30,27724.41,27766.41,27036.49,27305.41,27401.45,19031
2023-08-29,26106.0,28154.08,25911.89,27724.41,27032.985,39870
2023-08-28,26091.32,26233.53,25861.84,26106.0,26047.685,11633
2023-08-27,26010.35,26168.79,25966.75,26091.32,26067.77,4137
2023-08-26,26050.97,26109.44,25979.16,26010.35,26044.3,3572
2023-08-25,26166.22,26290.12,25764.77,26050.97,26027.445,18808
2023-08-24,26432.38,26563.31,25873.78,26166.22,26218.545,17135
2023-08-23,26041.29,26802.54,25802.48,26432.38,26302.51,25576
2023-08-22,26125.92,26136.73,25384.73,26041.29,25760.73,19883
2023-08-21,26191.28,26246.12,25822.32,26125.92,26034.22,16512
2023-08-20,26095.78,26290.52,25989.55,26191.28,26140.035,7358
2023-08-19,26049.84,26262.71,25796.79,26095.78,26029.75,10190
2023-08-18,26634.84,26823.95,25632.05,26049.84,26228.0,33852
2023-08-17,28702.69,28752.32,25375.04,26634.84,27063.68,49382
2023-08-16,29172.78,29228.58,28695.35,28702.69,28961.965,16507
2023-08-15,29409.23,29459.32,29061.38,29172.78,29260.35,10079
2023-08-14,29281.59,29664.61,29085.64,29409.23,29375.125,12333
2023-08-13,29417.07,29447.39,29258.37,29281.59,29352.88,3928
2023-08-12,29403.57,29471.85,29355.96,29417.07,29413.905,3495
2023-08-11,29428.11,29532.64,29223.04,29403.57,29377.84,10555
2023-08-10,29566.24,29706.22,29325.67,29428.11,29515.945,12722
2023-08-09,29770.63,30120.36,29357.01,29566.24,29738.685,17793
2023-08-08,29182.05,30206.08,29111.53,29770.63,29658.805,26562
2023-08-07,29046.16,29245.24,28671.87,29182.05,28958.555,16340
2023-08-06,29050.34,29164.73,28962.89,29046.16,29063.81,4361
2023-08-05,29078.88,29110.47,28953.37,29050.34,29031.92,4135
2023-08-04,29177.67,29308.91,28791.82,29078.88,29050.365,12882
2023-08-03,29165.64,29396.96,28944.25,29177.67,29170.605,15427
2023-08-02,29710.4,30024.58,28915.14,29165.64,29469.86,28310
2023-08-01,29231.47,29720.82,28576.85,29710.4,29148.835,27902
2023-07-31,29282.65,29522.84,29111.12,29231.47,29316.98,14552
2023-07-30,29359.83,29450.06,29046.15,29282.65,29248.105000000003,7519
2023-07-29,29317.1,29405.66,29257.99,29359.83,29331.825,4989
2023-07-28,29216.8,29528.41,29121.03,29317.1,29324.72,11707
2023-07-27,29351.49,29567.62,29082.44,29216.8,29325.03,12639
2023-07-26,29225.94,29683.79,29097.55,29351.49,29390.67,16583
2023-07-25,29178.09,29371.54,29054.59,29225.94,29213.065,12141
2023-07-24,30085.53,30098.6,28864.32,29178.09,29481.46,24935
2023-07-23,29790.37,30343.99,29739.52,30085.53,30041.755,8139
2023-07-22,29910.93,30000.24,29640.33,29790.37,29820.285000000003,6066
2023-07-21,29809.67,30061.19,29733.81,29910.93,29897.5,13253
2023-07-20,29918.31,30417.71,29579.89,29809.67,29998.8,19264
